TableCode,MinCovers,MaxCovers
13496,1,1
13668,5,6
13805,5,6
13806,5,6
13807,5,6
13808,3,4
14531,3,4
14532,3,4
14533,6,8
14534,4,6
14535,3,4
14536,3,4
14537,3,4
14538,2,2
14539,2,2
14540,5,6
14543,3,4
14544,3,4
14545,3,4
14629,3,4
15756,5,6
15757,3,4
15758,3,4
15759,2,2
15760,2,2
15761,2,2
15762,2,2
15763,2,2
15764,2,2
16191,4,6
16192,4,6
16193,4,6
16194,4,6
16813,4,6
16814,4,6
16815,4,6
16816,4,6
17967,3,4
18416,2,4
18417,5,6
18418,2,2
18419,2,2
22876,3,4
23603,1,2
23604,1,2
23605,7,8
23703,1,1
